core_model,site_model,MS_GC,site_charge,temperature,input_mole_fractions,x,phi,rho,Vo_mole_fraction,Gd_mole_fraction
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],6.248758373000003e-10,0.04496836013929459,450629220.53538895,0.024128919466928318,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],7.029813659000001e-10,0.01684958120609385,-2801612099.0728393,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],7.810928391000003e-10,0.023201696312079103,599986731.6554487,0.03212470566610634,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],9.373145607000001e-10,0.01275813586590165,770989114.2333801,0.04128053226771965,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.015425781e-09,-0.007258561378729015,-2801516486.655644,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.093536894e-09,0.007197633517965166,822511654.0338287,0.044039190994512006,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.249758847e-09,0.0045685383344603895,867535439.8713756,0.046449870615048405,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.327869966e-09,-0.01336147732620249,-2801518141.861525,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.4059810880000004e-09,0.003181375122115809,877704579.9052372,0.046994352694822654,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.562203051e-09,0.002655581545979853,891514025.6659242,0.04773374266663734,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.6403141730000005e-09,-0.014671781825209203,-2801518070.129923,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.718425296e-09,0.0024737238128310283,897442642.5248097,0.048051174861951464,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.874647259e-09,0.002412791952163784,899392354.6251318,0.04815556679542884,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],1.9527583809999997e-09,-0.014830488078122015,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.030869503e-09,0.002399100682471961,900258731.5807416,0.04820195484636673,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.187091467000001e-09,0.002399906529025747,900495299.4869318,0.04821462124451679,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.265202589e-09,-0.014833342761759672,-2801518088.062823,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.3433137109999998e-09,0.002406276738331977,900588715.0154197,0.0482196227242897,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.499535674e-09,0.0024147340602917703,900628418.2047645,0.04822174852575627,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.577646796e-09,-0.014817154511736316,-2801518088.0628147,0.0,0.2
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.6557579180000003e-09,0.0024238257087425075,900651792.9611477,0.048223000270582635,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.8119798820000002e-09,0.0024326949099034555,900680897.5789847,0.04822455859978901,0.0
False,site_explicit,mott-schottky,False,773,[0.05 0.2 ],2.890091004e-09,-0.01479995840526899,-2801518088.062823,0.0,0.2
